No.,Vehicle W/0 Engine,Engine
25,"INTERNATIONAL  4000
INTERNATIONAL  7000
INTERNATIONAL  8000
INTERNATIONAL  9000
INTERNATIONAL CF500  2005-2007
INTERNATIONAL CF600  2005-2007
INTERNATIONAL CXT  2005-2008
INTERNATIONAL CXT  2006-2008
INTERNATIONAL DURASTAR  2008
INTERNATIONAL DURASTAR  2008-2010
INTERNATIONAL DURASTAR  2008-2013
INTERNATIONAL DURASTAR  2008-2016
INTERNATIONAL DURASTAR  2014-2016
INTERNATIONAL LONESTAR  2009-2024
INTERNATIONAL LONESTAR  2013-2014
INTERNATIONAL MXT  2007-2009
INTERNATIONAL PAYSTAR  2000-2002
INTERNATIONAL PAYSTAR  2000-2003
INTERNATIONAL PAYSTAR  2000-2004
INTERNATIONAL PAYSTAR  2000-2011
INTERNATIONAL PAYSTAR  2003
INTERNATIONAL PAYSTAR  2004-2015
INTERNATIONAL PAYSTAR  2005-2008
INTERNATIONAL PAYSTAR  2005-2009
INTERNATIONAL PAYSTAR  2012
INTERNATIONAL PROSTAR  2009-2016
INTERNATIONAL PROSTAR  2013-2018
INTERNATIONAL RXT  2005-2008
INTERNATIONAL RXT  2006-2007
INTERNATIONAL TRANSTAR  2008-2010
INTERNATIONAL TRANSTAR  2008-2011
INTERNATIONAL TRANSTAR  2008-2016
INTERNATIONAL TRANSTAR  2009-2014
INTERNATIONAL WORKSTAR  2008
INTERNATIONAL WORKSTAR  2008-2010
INTERNATIONAL WORKSTAR  2008-2012
INTERNATIONAL WORKSTAR  2008-2016
INTERNATIONAL WORKSTAR  2008-2017
INTERNATIONAL WORKSTAR  2009-2014
INTERNATIONAL WORKSTAR  2009-2016
INTERNATIONAL WORKSTAR  2015-2016","10.3L L6 DIESEL Turbocharged
10.5L L6 DIESEL Turbocharged
10.8L L6 DIESEL Turbocharged
12.0L DIESEL Turbocharged
12.4L L6 DIESEL Turbocharged
12.5L DIESEL
14.0L L6 DIESEL Turbocharged
14.6L L6 DIESEL Turbocharged
14.9L L6 DIESEL Turbocharged
15.0L DIESEL
15.2L L6 DIESEL Turbocharged
4.5L V6 DIESEL Turbocharged
6.0L V8 DIESEL Turbocharged
6.4L V8 DIESEL Turbocharged
7.6L L6 DIESEL
7.6L L6 DIESEL Turbocharged
8.7L L6 DIESEL Turbocharged
9.3L L6 DIESEL Turbocharged
SERIES 1986-1990 14.6L 893cid L6 DIESEL Turbocharged
SERIES 1989-1990 14.6L 893cid L6 DIESEL Turbocharged
SERIES 1991-1998 14.6L L6 DIESEL Turbocharged
SERIES 1991-2002 14.0L L6 DIESEL Turbocharged
SERIES 1991-2003 14.6L L6 DIESEL Turbocharged
SERIES 1993-2000 11.1L L6 DIESEL Turbocharged
SERIES 1993-2003 12.7L L6 DIESEL Turbocharged
SERIES 1997 10.3L DIESEL
SERIES 1997-2004 12.0L DIESEL Turbocharged
SERIES 1998-2003 10.3L L6 DIESEL Turbocharged
SERIES 1999-2011 10.8L L6 DIESEL Turbocharged
SERIES 2002-2007 6.0L V8 DIESEL Turbocharged
SERIES 2002-2007 7.6L L6 DIESEL Turbocharged
SERIES 2003-2004 10.3L L6 DIESEL Turbocharged
SERIES 2003-2004 12.0L DIESEL Turbocharged
SERIES 2003-2007 10.8L L6 DIESEL Turbocharged
SERIES 2003-2014 14.9L L6 DIESEL Turbocharged
SERIES 2004-2007 11.1L DIESEL
SERIES 2004-2007 12.5L DIESEL
SERIES 2004-2007 9.3L L6 DIESEL Turbocharged
SERIES 2004-2011 12.5L DIESEL
SERIES 2004-2013 15.2L L6 DIESEL Turbocharged
SERIES 2005-2007 11.1L DIESEL
SERIES 2005-2007 9.3L L6 DIESEL Turbocharged"
26,"INTERNATIONAL DURASTAR  2008-2013
INTERNATIONAL DURASTAR  2012-2019
INTERNATIONAL DURASTAR  2014-2016
INTERNATIONAL DURASTAR  2016-2020
INTERNATIONAL DURASTAR  2018-2020
INTERNATIONAL HV  2019
INTERNATIONAL HV  2020-2025
INTERNATIONAL MV  2019-2021
INTERNATIONAL MV  2024-2025
INTERNATIONAL PROSTAR  2008-2011
INTERNATIONAL PROSTAR  2008-2018
INTERNATIONAL PROSTAR  2008-2019
INTERNATIONAL PROSTAR  2009-2010
INTERNATIONAL PROSTAR  2009-2012
INTERNATIONAL PROSTAR  2010-2013
INTERNATIONAL TERRASTAR  2016
INTERNATIONAL TRANSTAR  2016
INTERNATIONAL WORKSTAR  2014
INTERNATIONAL WORKSTAR  2015-2019
INTERNATIONAL WORKSTAR  2019
INTERNATIONAL WORKSTAR  2019-2020","10.5L L6 DIESEL Turbocharged
10.8L L6 DIESEL Turbocharged
12.4L L6 DIESEL Turbocharged
12.5L DIESEL
14.9L L6 DIESEL Turbocharged
15.2L L6 DIESEL Turbocharged
6.4L V8 DIESEL Turbocharged
6.7L L6 DIESEL Turbocharged
7.6L L6 DIESEL
7.6L L6 DIESEL Turbocharged
8.9L L6 DIESEL Turbocharged
9.0L DIESEL Turbocharged
9.3L L6 DIESEL Turbocharged"
27,MAZDA 626  1998-2002,"2.0L L4
2.5L V6"
28,LAND ROVER FREELANDER  2002-2006,2.5L V6
29,"FREIGHTLINER CENTURY CLASS  1996-2007
FREIGHTLINER CENTURY CLASS  1997-2003
FREIGHTLINER CENTURY CLASS  1997-2011
FREIGHTLINER COLUMBIA  2000-2009
FREIGHTLINER COLUMBIA  2001-2011
FREIGHTLINER COLUMBIA  2002-2003","10.8L L6 DIESEL Turbocharged
12.7L L6 DIESEL Turbocharged
14.0L L6 DIESEL Turbocharged"
3,DAEWOO NUBIRA  1999-2002,2.0L L4
30,"SAAB 9-3  1999-2002
SAAB 900  1991-1994
SAAB 900  1991-1998
SAAB 900  1994-1997
SAAB 900  1994-1998","2.0L L4 Turbocharged
2.1L L4
2.3L L4
2.3L L4 Turbocharged
2.5L V6"
31,"MITSUBISHI ECLIPSE  2000-2005
MITSUBISHI GALANT  1999-2003
MITSUBISHI GALANT  1999-2004
MITSUBISHI GALANT  2004","2.4L L4
3.0L V6
3.8L V6"
32,"FREIGHTLINER ARGOSY  1999-2003
FREIGHTLINER ARGOSY  1999-2008
FREIGHTLINER ARGOSY  1999-2011
FREIGHTLINER CENTURY CLASS  1996-2007
FREIGHTLINER CENTURY CLASS  1997-2003
FREIGHTLINER CENTURY CLASS  1997-2011
FREIGHTLINER COLUMBIA  2000-2009
FREIGHTLINER COLUMBIA  2001-2011
FREIGHTLINER COLUMBIA  2002-2003","10.8L L6 DIESEL Turbocharged
11.1L L6 DIESEL Turbocharged
12.7L L6 DIESEL Turbocharged
14.0L L6 DIESEL Turbocharged"
33,"CHRYSLER PT CRUISER  2001-2010
CHRYSLER PT CRUISER  2003-2009","2.4L L4
2.4L L4 Turbocharged"
34,"MERCEDES-BENZ CL500  2001-2006
MERCEDES-BENZ CL55 AMG  2001-2002
MERCEDES-BENZ CL55 AMG  2003-2006
MERCEDES-BENZ CL600  2001-2002
MERCEDES-BENZ CL600  2003-2006
MERCEDES-BENZ CL65 AMG  2005-2006
MERCEDES-BENZ E300  1996-1997
MERCEDES-BENZ E300  1998-1999
MERCEDES-BENZ E320  1996-1997
MERCEDES-BENZ E320  1998-2002
MERCEDES-BENZ E420  1997
MERCEDES-BENZ E430  1998-2002
MERCEDES-BENZ E55 AMG  1999-2002
MERCEDES-BENZ S430  2000-2004
MERCEDES-BENZ S500  2000-2004
MERCEDES-BENZ S55 AMG  2001-2002
MERCEDES-BENZ S55 AMG  2003-2004
MERCEDES-BENZ S600  2001-2002
MERCEDES-BENZ S600  2003-2005","3.0L L6 DIESEL
3.0L L6 DIESEL Turbocharged
3.2L L6
3.2L V6
4.2L V8
4.3L V8
5.0L V8
5.5L V12 Turbocharged
5.5L V8
5.5L V8 Supercharged
5.8L V12
6.0L V12 Turbocharged"
35,CADILLAC CATERA  1997-2001,3.0L V6
36,"BMW 318I  1992-1995
BMW 318I  1996-1999
BMW 318IS  1992-1995
BMW 318IS  1996-1999
BMW 318TI  1995
BMW 318TI  1996-1999
BMW 323I  1998-1999
BMW 323IS  1998-1999
BMW 323TI  1999
BMW 325I  1992-1993
BMW 325I  1994-1995
BMW 325IS  1992-1995
BMW 328I  1996-1999
BMW 328IS  1996-1998
BMW M3  1994-1995
BMW M3  1996-1999","1.8L L4
1.9L L4
2.5L L6
2.5L L6 DOHC
2.5L L6 SOHC
2.8L L6
3.0L L6
3.2L L6"
37,HONDA S 2000,"2000-2003 2.0L L4
2004-2009 2.2L L4"
38,LINCOLN CONTINENTAL  1998-2002,4.6L V8
39,"KIA AMANTI  2004-2006
KIA AMANTI  2007-2009","3.5L V6
3.8L V6"
4,"MERCEDES-BENZ 300CE  1990-1991
MERCEDES-BENZ 300D  1990-1991
MERCEDES-BENZ 300E  1990-1991
MERCEDES-BENZ 400E  1993
MERCEDES-BENZ E320  1994
MERCEDES-BENZ E420  1994
MERCEDES-BENZ E500  1994","2.5L L5 DIESEL Turbocharged
2.6L L6
3.0L L6
3.2L L6
4.2L V8
5.0L V8"
40,"INFINITI I30  2000-2001
INFINITI I35  2002-2004
NISSAN MAXIMA  2000-2001
NISSAN MAXIMA  2002-2003","3.0L V6
3.5L V6"
